species,attacks,mean.attack.height,mean.percent.canopy,mean.FD,mean.third,hanging,reaching,flutter.chasing,gaping,gleaning,lunging,pecking,probing,pulling,sally.gliding,sally.hovering,sally.pouncing,sally.stalling,sally.striking,air,branches,nectarivory,frugivory,ground,hanging.bark,insect.cases,leaves,webs,woody.fruits,dead,mean.flower.length
Lichenostomus_melanops,124,8.42,0.66,1.9,2.47,0.28,0.08,0.01,0,0.32,0,0,0.51,0,0,0.02,0.01,0.01,0.12,0.15,0.24,0.34,0,0.02,0.01,0,0.24,0,0,0.01,0.75
Lichmera_indistincta,459,4.67,0.72,2.36,2.64,0.19,0.01,0.01,0,0.12,0,0,0.68,0,0,0.07,0,0.01,0.11,0.13,0.03,0.66,0,0,0,0.01,0.16,0.01,0,0.01,1.26
Manorina_flavigula,123,6.78,0.72,1.95,2.67,0.17,0.01,0.04,0.01,0.35,0.01,0,0.43,0,0,0.02,0.02,0.06,0.07,0.16,0.12,0.35,0.01,0.05,0.01,0.01,0.28,0,0,0,0.87
Manorina_melanocephala,79,9.39,0.62,2.04,2.55,0.26,0.04,0.05,0,0.62,0.01,0,0.2,0,0,0.03,0,0.04,0.05,0.13,0.3,0.13,0,0.05,0.01,0,0.37,0.01,0,0.01,0.31
Manorina_melanophrys,39,9.03,0.59,2.43,2.68,0.48,0.04,0.02,0,0.92,0,0,0,0,0,0,0.03,0,0.03,0.02,0.16,0,0,0.01,0.03,0,0.79,0,0,0,0
Manorina_melanotis,26,5.32,0.62,2.15,2.45,0.3,0,0.01,0.02,0.9,0,0,0.06,0,0,0,0,0,0,0.01,0.21,0.02,0.04,0.08,0,0.03,0.6,0,0,0,1.2
Meliphaga_lewinii,70,7.72,0.56,2.06,2.39,0.14,0.03,0.02,0,0.4,0,0,0.33,0,0,0.09,0.01,0,0.15,0.09,0.18,0.19,0.25,0.01,0,0,0.27,0,0,0.04,1
Meliphaga_notata,45,8.88,0.53,2.17,2.38,0.04,0.02,0,0,0.58,0,0,0.22,0,0,0.04,0,0.03,0.12,0.04,0.09,0.19,0.27,0,0,0.07,0.34,0,0,0.02,0.62
Melithreptus_affinis,87,19.36,0.88,2.52,2.63,0.59,0.01,0.01,0,0.77,0,0,0.2,0,0,0.01,0,0,0.02,0.02,0.41,0.01,0,0,0.04,0.01,0.5,0,0,0,1.64
Melithreptus_albogularis,203,9.21,0.8,2.51,2.66,0.5,0.01,0.01,0,0.52,0,0.01,0.43,0.01,0,0,0,0,0.01,0.01,0.06,0.34,0,0,0,0.05,0.53,0,0.01,0.05,0.56
Melithreptus_brevirostris,146,5.75,0.75,2.64,2.66,0.58,0,0.01,0,0.54,0,0.03,0.41,0,0,0,0,0,0.01,0.01,0.19,0.26,0,0,0.02,0.03,0.45,0,0.02,0,0.83
Melithreptus_chloropsis,69,16.16,0.75,2.52,2.64,0.65,0,0,0,0.65,0,0,0.35,0,0,0,0,0,0,0,0.23,0.15,0,0,0.01,0.04,0.55,0,0.01,0,0.29
Melithreptus_gularis,46,9.17,0.8,2.42,2.43,0.72,0,0.02,0,0.4,0,0,0.56,0.02,0,0,0,0,0,0.02,0.29,0.16,0,0,0,0.11,0.42,0,0,0.05,0.27
Melithreptus_lunatus,135,12.57,0.79,2.37,2.71,0.57,0.01,0.02,0.01,0.59,0,0,0.35,0,0,0,0,0,0.03,0.04,0.17,0.22,0,0,0.06,0.01,0.49,0,0,0.01,0.33
Melithreptus_validirostris,77,13.57,0.63,1.06,1.89,0.63,0,0,0.08,0.3,0,0.01,0.56,0.04,0,0,0,0,0.01,0.02,0.74,0.04,0,0,0.16,0.01,0.03,0,0,0,1.33
Microptilotis_albilineata,36,7.59,0.72,1.95,2.34,0.16,0.03,0.06,0,0.3,0,0,0.53,0,0,0.01,0,0.01,0.08,0.12,0.31,0.38,0,0,0,0,0.2,0,0,0.06,0.54
Microptilotis_fordiana,68,3.37,0.63,2.23,2.59,0.3,0.01,0.01,0,0.35,0,0,0.5,0,0,0.04,0,0.01,0.09,0.06,0.04,0.49,0.18,0,0,0,0.24,0,0,0.04,1.8
Microptilotis_gracilis,70,11.51,0.61,2.29,2.46,0,0,0.02,0,0.34,0,0,0.43,0,0,0.11,0,0,0.1,0.09,0.04,0.37,0.08,0,0,0,0.39,0.01,0,0.03,0.98
Myzomela_erythrocephala,103,4.4,0.72,2.34,2.67,0.26,0.01,0.04,0,0.36,0,0,0.44,0,0,0.07,0,0,0.09,0.14,0.1,0.42,0,0,0,0,0.32,0.02,0,0.03,0.83
Myzomela_obscura,147,9.44,0.66,2.01,2.66,0.22,0.02,0,0,0.24,0,0,0.67,0,0,0.06,0,0,0.03,0.03,0.02,0.64,0,0,0,0.01,0.29,0.02,0,0.04,0.78
Myzomela_sanguinolenta,36,17,0.86,1.71,2.71,0.25,0.06,0.05,0,0.16,0,0,0.55,0,0,0.06,0,0,0.19,0.27,0.11,0.53,0,0,0,0,0.06,0.04,0,0.01,0.81
Nesoptilotis_flavicollis,71,11.52,0.69,1.19,1.94,0.35,0.01,0.05,0,0.47,0,0,0.37,0,0,0.01,0,0.01,0.08,0.09,0.73,0.04,0,0,0.01,0,0.13,0,0,0,2
Nesoptilotis_leucotis,80,5.67,0.62,1.6,2.25,0.18,0.04,0.01,0,0.27,0,0,0.61,0,0,0.04,0.01,0,0.07,0.07,0.44,0.21,0,0,0.01,0,0.27,0,0,0,1.27
Philemon_argenticeps,116,8.52,0.74,2.41,2.5,0.2,0.03,0,0,0.32,0.01,0,0.55,0,0,0.01,0.01,0.06,0.04,0.04,0.07,0.54,0.02,0.01,0,0,0.32,0,0,0.02,1.31
Philemon_buceroides,70,8.45,0.68,2.59,2.58,0.13,0.03,0,0,0.55,0,0,0.36,0,0.01,0,0.03,0.03,0.01,0.02,0.12,0.3,0.07,0.03,0.01,0.03,0.42,0,0,0.06,0.83
Philemon_citreogularis,136,8.72,0.73,2.45,2.62,0.15,0.02,0.01,0,0.22,0.01,0,0.64,0,0.01,0.01,0.01,0.03,0.06,0.09,0.05,0.62,0,0.01,0,0.01,0.22,0,0,0,1.34
Philemon_corniculatus,84,12.81,0.71,2.54,2.63,0.25,0.05,0,0,0.27,0,0,0.6,0,0,0,0.01,0.03,0.08,0.1,0.05,0.6,0.04,0.01,0,0,0.2,0,0,0,0.68
Phylidonyris_nigra,99,4.68,0.75,1.86,2.68,0.15,0,0,0,0.04,0,0,0.58,0,0,0,0,0.02,0.36,0.36,0.01,0.58,0,0,0,0,0.05,0,0,0,1.98
Phylidonyris_novaehollandiae,333,4.92,0.7,2.06,2.71,0.14,0,0,0,0.11,0,0,0.63,0,0,0.01,0,0.01,0.24,0.22,0.07,0.6,0,0,0,0,0.1,0,0,0,1.85
Phylidonyris_pyrrhoptera,78,4.83,0.64,1.76,2.39,0.19,0,0,0,0.13,0,0,0.6,0,0,0.05,0,0.01,0.2,0.17,0.17,0.49,0,0.03,0,0,0.13,0.02,0,0,1.65
Plectorhyncha_lanceolata,78,6.22,0.73,2.37,2.52,0.44,0,0,0,0.62,0,0,0.34,0.03,0,0,0,0,0,0,0.14,0.17,0.07,0.03,0,0.13,0.4,0.01,0.06,0,0.83
Ptilotula_flavescens,166,6.83,0.66,2.33,2.7,0.34,0.01,0.05,0,0.53,0,0,0.32,0,0,0.02,0,0.01,0.08,0.11,0.09,0.28,0,0.01,0,0,0.48,0.01,0.01,0.05,1.81
Ptilotula_fusca,174,11,0.75,1.8,2.95,0.37,0.04,0.01,0,0.41,0.01,0,0.28,0,0,0.04,0.01,0.06,0.19,0.26,0.1,0.25,0,0.03,0.01,0,0.34,0.01,0,0,0.39
Ptilotula_keartlandi,115,3.35,0.68,2.24,2.66,0.24,0.02,0.02,0,0.39,0,0,0.4,0,0,0.07,0,0.02,0.09,0.12,0.14,0.36,0,0.03,0.01,0,0.33,0,0.02,0,0.45
Ptilotula_ornata,99,5.24,0.74,2.37,2.7,0.18,0,0.01,0,0.34,0,0,0.46,0,0,0.01,0.01,0,0.17,0.18,0.08,0.45,0.03,0.01,0,0,0.25,0.01,0,0,1.1
Ptilotula_penicillata,196,5.84,0.66,2.11,2.68,0.23,0.01,0.01,0.01,0.5,0.01,0,0.26,0,0,0.04,0,0.01,0.17,0.16,0.1,0.25,0,0.02,0,0.02,0.47,0,0,0,0.81
Ptilotula_plumula,100,2.76,0.72,2.34,2.6,0.24,0,0.02,0,0.49,0,0,0.31,0,0,0.09,0,0.02,0.07,0.07,0.12,0.18,0,0.04,0,0,0.58,0,0.01,0.02,1.39
Purnella_albifrons,96,3.34,0.65,2.18,2.78,0.08,0,0,0,0.11,0,0,0.68,0,0,0.04,0,0,0.17,0.18,0.05,0.66,0,0,0,0.01,0.09,0.01,0,0,0.95
Ramsayornis_fasciatus,144,6.62,0.69,2.21,2.7,0.25,0.02,0.01,0,0.22,0,0,0.51,0,0,0.18,0,0,0.08,0.09,0.09,0.52,0,0,0,0.01,0.29,0.01,0,0.03,1.05
Ramsayornis_modestus,96,9.97,0.7,1.93,2.55,0.28,0.01,0.01,0,0.23,0,0,0.57,0,0,0.14,0,0,0.06,0.06,0.06,0.55,0,0,0.01,0.02,0.29,0.01,0,0,0.63
Stomiopera_flava,52,9.18,0.77,2.68,2.38,0.18,0,0.03,0.02,0.49,0,0,0.38,0,0,0.03,0,0.02,0.05,0.05,0.14,0.3,0.05,0,0,0,0.46,0,0,0.02,0.78
Stomiopera_unicolor,194,5.81,0.63,2.78,2.13,0.22,0.01,0.01,0.05,0.39,0,0,0.5,0.01,0,0.01,0,0.01,0.02,0.02,0.13,0.35,0.03,0,0.01,0.03,0.42,0,0.01,0.1,1.49
Sugomel_niger,38,4.8,0.82,1.66,2.77,0.03,0,0,0,0.06,0,0,0.55,0,0,0.14,0,0,0.24,0.28,0.01,0.6,0,0,0,0,0.12,0,0,0,1.21
Trichodere_cockerelli,31,14.8,0.85,2.02,2.7,0.08,0,0,0,0.09,0,0,0.9,0,0,0,0,0,0.01,0.01,0,0.9,0,0,0,0,0.09,0,0,0,0.49
Xanthotis_flaviventer,22,13.88,0.63,1.93,2.5,0.26,0.05,0.04,0,0.45,0,0,0.45,0,0,0.01,0,0,0.05,0.09,0.01,0.27,0,0,0.05,0.01,0.58,0,0,0.32,0.43
Xanthotis_macleayanus,58,13.32,0.58,2.57,2.1,0.31,0,0.01,0,0.32,0,0,0.66,0,0,0.02,0,0,0,0.01,0.14,0.33,0,0,0.02,0.03,0.47,0,0,0.17,1.05
